miRNA	TCGA-44-2655	TCGA-44-2657	TCGA-44-2661	TCGA-44-2665	TCGA-44-2668	TCGA-44-3396	TCGA-44-3398	TCGA-44-6144	TCGA-44-6776	TCGA-44-6777	TCGA-44-6778	TCGA-44-7659	TCGA-44-7660	TCGA-44-7661	TCGA-44-7662	TCGA-44-7667	TCGA-44-7669	TCGA-44-7670	TCGA-44-7671	TCGA-44-7672	TCGA-49-6742	TCGA-49-6743	TCGA-49-6744	TCGA-49-6745	TCGA-50-5930	TCGA-50-5932	TCGA-50-5933	TCGA-50-7109	TCGA-55-7283	TCGA-55-7570	TCGA-55-7574	TCGA-55-7576	TCGA-55-7724	TCGA-55-7725	TCGA-55-7726	TCGA-55-7903	TCGA-55-7910	TCGA-55-7911	TCGA-55-7914	TCGA-78-7163	TCGA-78-7540	TCGA-86-7711	TCGA-86-7713	TCGA-91-6835	TCGA-91-6836	TCGA-93-7348
hsa-miR-210-3p	1.5305147166987798	1.960754622621294	1.914270125974116	2.3718656651372703	2.129958594124668	2.1689648050402197	4.029196906515613	1.5744701269035137	0.5953791166664943	0.14172810961166035	1.1183693567932196	1.0180114079843186	0.8512982696452012	0.5441389195163027	0.7108920825563128	1.590576107184683	0.5569481245515597	0.7486948867483132	0.47654563950114504	0.29790486568084606	0.6209908099053703	0.3710069165333481	0.08426891689760395	0.8791915281585443	0.42862047155176886	0.3969437057169744	0.548585180021395	0.5796682010516432	1.0822382609068353	0.6520766965796931	1.3719687773869578	1.0	0.5661034734698402	0.5415699052077756	0.33642766458247736	2.4594316186372973	0.44941054310024786	0.34577483684173	0.579782261615476	0.8960215808958472	1.0	1.3948596173412136	1.1463894869815232	0.44745897697122144	0.39078995303216657	0.5599584945912618
hsa-miR-210-5p	0.18762700317577127	0.12485148718508306	0.03652587602511388	0.03584519894672219	0.1353518528948863	0.06750681935827649	0.3980843659976467	0.04629365227393486	0.04629365227393486	0.018496343617389496	0.0	0.01442707063527984	0.029443777892481836	0.025200554125142438	0.028428408326517298	0.06596326237835856	0.013805799525030428	0.019496175625797196	0.013707419420598105	0.026231541573179452	0.0	0.016824622641358925	0.0	0.0	0.0	0.0	0.027546326885662532	0.0	0.031884061019786004	0.01707351335894141	0.028014376169596476	0.06273575534796275	0.0	0.04730571477835682	0.0	0.09432738254815312	0.0	0.014950341465971606	0.060754031079096237	0.0	0.014355292977070055	0.017702001733459045	0.05496645921792854	0.01449956969511517	0.04730571477835682	0.029443777892481836
hsa-miR-211-5p	0.0	0.0	0.1740293997750489	0.20281688299968706	0.04654258593703025	0.10011148479020436	0.0	0.061400544664143276	0.031026895620624637	0.018496343617389496	0.08130010210184822	0.08447456816353635	0.07251249978436797	0.012655300806029052	0.028428408326517298	0.0	0.09397614820901377	0.07645206043787325	0.013707419420598105	0.0	0.039259430447227184	0.0	0.014391092305621585	0.0	0.0	0.04989644424700779	0.0	0.01576731585831655	0.0	0.453172628165615	0.028014376169596476	0.04730571477835682	0.0	0.06273575534796275	0.0	0.0	0.07143513804294888	0.0	0.030696797222916426	0.0	0.0	0.017702001733459045	0.013939190957873776	0.0	0.0	0.04394334758759686
hsa-miR-2110	0.8300749985576875	0.7271513043392503	0.8845227825800641	0.3524529619008208	0.8636785287872197	0.6984447488798193	0.5346574188730906	0.13464952669478183	0.16293857112620563	0.07260374895683988	0.3672089741882286	0.042855478961797075	0.22026612022806016	0.09826401631486607	0.20069735023712892	0.23319917629303089	0.18220333122074905	0.23495588280036023	0.11891630138670703	0.026231541573179452	0.2379434248709633	0.08222709786299846	0.07056149747700581	0.30575528081841563	0.10524316002733687	0.27637004239527296	0.1948161769840231	0.15041684255309853	0.26437707232520385	0.22239242133644802	0.3388019134517585	0.2085866218114173	0.055141554192460855	0.1080597458574529	0.20353339408513216	0.07594885323329842	0.13949941298810317	0.029747343394051932	0.14734171607518687	0.27729509895896354	0.2750070474998698	0.13588342808177303	0.24423681037966782	0.5703157247567547	0.15200309344505006	0.3887718445850382
hsa-miR-2114-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014797001928080483	0.0	0.01428422600624755	0.0	0.0	0.019496175625797196	0.0	0.0	0.019763254821429967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01603010981894908	0.0	0.014075185211722742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014355292977070055	0.017702001733459045	0.0	0.0	0.0	0.0
hsa-miR-2114-5p	0.0	0.0	0.03652587602511388	0.0	0.0	0.0	0.0	0.015596855051018588	0.0	0.018496343617389496	0.04932771236356833	0.0	0.0	0.012655300806029052	0.0	0.016775712750826618	0.013805799525030428	0.019496175625797196	0.0	0.013175388747733168	0.039259430447227184	0.0	0.0	0.07376405467205453	0.0	0.016824622641358925	0.027546326885662532	0.0	0.0	0.033947331923337536	0.014075185211722742	0.015941543869021503	0.14260439544280046	0.0	0.057143907103608824	0.0	0.0	0.0	0.0	0.0	0.02856915219677092	0.017702001733459045	0.0	0.0	0.015941543869021503	0.0
hsa-miR-2115-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04932771236356833	0.01442707063527984	0.0	0.012655300806029052	0.0	0.016775712750826618	0.0	0.07645206043787325	0.0	0.0	0.019763254821429967	0.04989644424700779	0.0	0.018797595454126022	0.030860963704760522	0.016824622641358925	0.0811096033010711	0.01576731585831655	0.0	0.01707351335894141	0.0	0.0	0.0	0.015941543869021503	0.0	0.0	0.014572801087272616	0.0	0.0	0.0	0.0	0.05246741989413548	0.0	0.0	0.015941543869021503	0.014797001928080483
hsa-miR-2115-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01663067454412084	0.0	0.0	0.0	0.0	0.033358596946430945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018797595454126022	0.046047367519436715	0.0	0.0	0.0	0.0	0.0	0.014075185211722742	0.0	0.0	0.0	0.01449956969511517	0.019365324866931218	0.0	0.0	0.0	0.0	0.0	0.017702001733459045	0.0	0.0	0.0	0.0
hsa-miR-2116-3p	0.07800251200127317	0.2671040701428407	0.29956028185890793	0.29444735846525527	0.1353518528948863	0.034148222411845584	0.2697602690221072	0.0	0.0	0.018496343617389496	0.04932771236356833	0.01442707063527984	0.014797001928080483	0.012655300806029052	0.04243526632039674	0.04975303519709973	0.013805799525030428	0.0	0.02728582592113872	0.013175388747733168	0.0	0.0	0.014391092305621585	0.018797595454126022	0.0610755767517683	0.03345529718547974	0.0	0.031364170909335014	0.0	0.01707351335894141	0.0418201756946269	0.015941543869021503	0.0	0.0	0.0	0.05733317506595162	0.014572801087272616	0.029747343394051932	0.015430040569605969	0.05621600956654808	0.014355292977070055	0.017702001733459045	0.0	0.04306872189188594	0.03170885972733806	0.0
hsa-miR-2116-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.026717338375779418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018615678167346827	0.015941543869021503	0.0	0.0	0.0	0.0	0.015430040569605969	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-212-3p	0.11547721741993588	0.1544462693733789	0.1740293997750489	0.13832815654797342	0.4786535985748155	0.13199554580999037	0.07871197601404077	0.4422223286050742	0.20435849850618631	0.15850382236248717	0.6806831185691755	0.18992386674726608	0.27045187739627674	0.2871936787582733	0.16272950003810832	0.3032466738212873	0.16992500144231237	0.36257007938470814	0.15647230601031023	0.15067891249766815	0.8915532725416896	0.6764844906401162	0.32265106911491476	0.794458479663777	0.4169857710683657	0.4224224260338971	0.1327552088517716	0.17870588698452208	0.16723591391467216	0.2658940599730344	0.13492958008610864	0.13750352374993502	0.28780231098273595	0.31550182572792945	0.17799830197799443	0.6609113539544549	0.22969722195968134	0.1963972128035033	0.5052353082504222	0.27729509895896354	0.18903382439001712	0.28950661719498505	0.15898952376115677	0.22862437504796249	0.1080597458574529	0.08658768499609071
